Unternehmen,Umsatz in Mio Euro,Mitarbeiter
ORF,967,3874
Mediaprint,452.8,1161
Styria,437.2,3000
Red Bull Media House,200,750
SKY Oesterreich,126.4,55
Verlagsgruppe NEWS,120,450
Prosieben Sat.1 Puls 4,115,250
ATV,33,130
Standard-Gruppe,63.2,390
ARD, 6265, 20744
RTL Group,5998,12184
ProSieben Sat.1 GESAMT,2969,3026
ZDF, 2028, 3631
SKY Deutschland,1333,1939
Deutschlandradio, 218, 710
