RECHTSTRÄGER;QUARTAL;BEKANNTGABE;LEERMELDUNG;MEDIUM_MEDIENINHABER;EURO
Aaron Kontor AT1 GmbH;20133;2;1;;
Aaron Kontor AT1 GmbH;20133;4;1;;
ABC-Provider GmbH;20133;2;1;;
ABC-Provider GmbH;20133;4;1;;
Abfall-Aufbereitungs GmbH;20133;2;1;;
Abfall-Aufbereitungs GmbH;20133;4;1;;
Abfallbehandlung Ahrental GmbH;20133;2;1;;
Abfallbehandlung Ahrental GmbH;20133;4;1;;
"Abfallbehandlung und -verwertung ""Am Ziegelofen"" GmbH";20133;2;1;;
"Abfallbehandlung und -verwertung ""Am Ziegelofen"" GmbH";20133;4;1;;
Abfallbeseitigungsverband Innsbruck-Land;20133;2;1;;
Abfallbeseitigungsverband Innsbruck-Land;20133;4;1;;
Abfallbeseitigungsverband Mittleres Unterinntal;20133;2;1;;
Abfallbeseitigungsverband Mittleres Unterinntal;20133;4;1;;
Abfallbeseitigungsverband Seefelder Plateau (Region 10);20133;2;1;;
Abfallbeseitigungsverband Seefelder Plateau (Region 10);20133;4;1;;
Abfallbeseitigungsverband südöstliches Mittelgebirge;20133;2;1;;
Abfallbeseitigungsverband südöstliches Mittelgebirge;20133;4;1;;
Abfallbeseitigungsverband Westtirol;20133;2;1;;
Abfallbeseitigungsverband Westtirol;20133;4;1;;
Abfallentsorgungsverband Kufstein;20133;2;1;;
Abfallentsorgungsverband Kufstein;20133;4;1;;
Abfallverband Großraum Salzburg;20133;2;1;;
Abfallverband Großraum Salzburg;20133;4;1;;
Abfallverband Pinzgau;20133;2;1;;
Abfallverband Pinzgau;20133;4;1;;
Abfallwirtschaft Tirol-Mitte Ges.mbH.;20133;2;1;;
Abfallwirtschaft Tirol-Mitte Ges.mbH.;20133;4;1;;
Abfallwirtschaftsverband Bezirk Kitzbühel;20133;2;1;;
Abfallwirtschaftsverband Bezirk Kitzbühel;20133;4;1;;
Abfallwirtschaftsverband Bezirk Reutte;20133;2;1;;
Abfallwirtschaftsverband Bezirk Reutte;20133;4;1;;
Abfallwirtschaftsverband Deutschlandsberg;20133;2;1;;
Abfallwirtschaftsverband Deutschlandsberg;20133;4;1;;
Abfallwirtschaftsverband Feldbach;20133;2;1;;
Abfallwirtschaftsverband Feldbach;20133;4;1;;
Abfallwirtschaftsverband Fürstenfeld;20133;2;1;;
Abfallwirtschaftsverband Fürstenfeld;20133;4;1;;
Abfallwirtschaftsverband Graz-Umgebung;20133;2;1;;
Abfallwirtschaftsverband Graz-Umgebung;20133;4;1;;
Abfallwirtschaftsverband Hartberg;20133;2;1;;
Abfallwirtschaftsverband Hartberg;20133;4;1;;
Abfallwirtschaftsverband Judenburg;20133;2;1;;
Abfallwirtschaftsverband Judenburg;20133;4;1;;
Abfallwirtschaftsverband Klagenfurt;20133;2;1;;
Abfallwirtschaftsverband Klagenfurt;20133;4;1;;
Abfallwirtschaftsverband Knittelfeld;20133;2;1;;
Abfallwirtschaftsverband Knittelfeld;20133;4;1;;
Abfallwirtschaftsverband Korneuburg;20133;2;1;;
Abfallwirtschaftsverband Korneuburg;20133;4;1;;
Abfallwirtschaftsverband Lavanttal;20133;2;1;;
Abfallwirtschaftsverband Lavanttal;20133;4;1;;
Abfallwirtschaftsverband Leibnitz;20133;2;1;;
Abfallwirtschaftsverband Leibnitz;20133;4;1;;
Abfallwirtschaftsverband Leoben;20133;2;1;;
Abfallwirtschaftsverband Leoben;20133;4;1;;
Abfallwirtschaftsverband Liezen;20133;2;1;;
Abfallwirtschaftsverband Liezen;20133;4;1;;
Abfallwirtschaftsverband Lungau;20133;2;1;;
Abfallwirtschaftsverband Lungau;20133;4;1;;
Abfallwirtschaftsverband Murau;20133;2;1;;
Abfallwirtschaftsverband Murau;20133;4;1;;
Abfallwirtschaftsverband Mürzverband;20133;2;1;;
Abfallwirtschaftsverband Mürzverband;20133;4;1;;
Abfallwirtschaftsverband Neunkirchen;20133;2;1;;
Abfallwirtschaftsverband Neunkirchen;20133;4;1;;
Abfallwirtschaftsverband Osttirol;20133;2;1;;
Abfallwirtschaftsverband Osttirol;20133;4;1;;
Abfallwirtschaftsverband Pongau;20133;2;1;;
Abfallwirtschaftsverband Pongau;20133;4;1;;
Abfallwirtschaftsverband Radkersburg;20133;2;1;;
Abfallwirtschaftsverband Radkersburg;20133;4;1;;
Abfallwirtschaftsverband Schladming;20133;2;1;;
Abfallwirtschaftsverband Schladming;20133;4;1;;
Abfallwirtschaftsverband Spittal/Drau;20133;2;1;;
Abfallwirtschaftsverband Spittal/Drau;20133;4;1;;
Abfallwirtschaftsverband Unterland;20133;2;1;;
Abfallwirtschaftsverband Unterland;20133;4;1;;
Abfallwirtschaftsverband Villach;20133;2;1;;
Abfallwirtschaftsverband Villach;20133;4;1;;
Abfallwirtschaftsverband Voitsberg;20133;2;1;;
Abfallwirtschaftsverband Voitsberg;20133;4;1;;
Abfallwirtschaftsverband Völkermarkt-St. Veit/Glan;20133;2;1;;
Abfallwirtschaftsverband Völkermarkt-St. Veit/Glan;20133;4;1;;
Abfallwirtschaftsverband Weiz;20133;2;1;;
Abfallwirtschaftsverband Weiz;20133;4;1;;
Abfallwirtschaftsverband Westkärnten;20133;2;1;;
Abfallwirtschaftsverband Westkärnten;20133;4;1;;
Abfallwirtschaftsverband Wiener Neustadt;20133;2;1;;
Abfallwirtschaftsverband Wiener Neustadt;20133;4;1;;
Abgabeneinhebungsverband Scheibbs;20133;2;1;;
Abgabeneinhebungsverband Scheibbs;20133;4;1;;
Abgabenprüfungsverband Bezirk Kitzbühel mit Sitz in Fieberbrunn;20133;2;1;;
Abgabenprüfungsverband Bezirk Kitzbühel mit Sitz in Fieberbrunn;20133;4;1;;
ABL Abfallbehandlung Lavant GmbH;20133;2;1;;
ABL Abfallbehandlung Lavant GmbH;20133;4;1;;
Abwasser- und Abfallverband Großache-Süd;20133;2;1;;
Abwasser- und Abfallverband Großache-Süd;20133;4;1;;
Abwasser- und Bioabfallverwertungsverband Ehrwald-Lermoos-Biberwier;20133;2;1;;
Abwasser- und Bioabfallverwertungsverband Ehrwald-Lermoos-Biberwier;20133;4;1;;
Abwasserbeseitigung Altenmarkt an der Triesting - Kaumberg;20133;2;1;;
Abwasserbeseitigung Altenmarkt an der Triesting - Kaumberg;20133;4;1;;
Abwasserreinigung Region Dornbirn-Schwarzach, Gesellschaft m.b.H.;20133;2;1;;
Abwasserreinigung Region Dornbirn-Schwarzach, Gesellschaft m.b.H.;20133;4;1;;
Abwasserverband Achental-Inntal-Zillertal;20133;2;1;;
Abwasserverband Achental-Inntal-Zillertal;20133;4;1;;
Abwasserverband Ager-West;20133;2;1;;
Abwasserverband Ager-West;20133;4;1;;
Abwasserverband AMAL;20133;2;1;;
Abwasserverband AMAL;20133;4;1;;
Abwasserverband An der Traisen;20133;2;1;;
Abwasserverband An der Traisen;20133;4;1;;
Abwasserverband Anzbach - Laabental;20133;2;1;;
Abwasserverband Anzbach - Laabental;20133;4;1;;
Abwasserverband Aurachtal;20133;2;1;;
Abwasserverband Aurachtal;20133;4;1;;
Abwasserverband Bezirk Jennersdorf;20133;2;1;;
Abwasserverband Bezirk Jennersdorf;20133;4;1;;
Abwasserverband Bierbaum;20133;2;1;;
Abwasserverband Bierbaum;20133;4;1;;
Abwasserverband Brixlegg und Umgebung;20133;2;1;;
Abwasserverband Brixlegg und Umgebung;20133;4;1;;
Abwasserverband der Gemeinden Bruck an der Mur und Oberaich;20133;2;1;;
Abwasserverband der Gemeinden Bruck an der Mur und Oberaich;20133;4;1;;
Abwasserverband Eibiswald und Umgebung;20133;2;1;;
Abwasserverband Eibiswald und Umgebung;20133;4;1;;
Abwasserverband Einzugsbereich Thörlbach;20133;2;1;;
Abwasserverband Einzugsbereich Thörlbach;20133;4;1;;
Abwasserverband Eisbach-Gratwein-Judendorf/Straßengel;20133;2;1;;
Abwasserverband Eisbach-Gratwein-Judendorf/Straßengel;20133;4;1;;
Abwasserverband Eisenstadt-Eisbachtal;20133;2;1;;
Abwasserverband Eisenstadt-Eisbachtal;20133;4;1;;
Abwasserverband Faaker See;20133;2;1;;
Abwasserverband Faaker See;20133;4;1;;
Abwasserverband Feldbach-Mittleres Raabtal;20133;2;1;;
Abwasserverband Feldbach-Mittleres Raabtal;20133;4;1;;
Abwasserverband Fieberbrunn, Hochfilzen, St. Jakob in Haus;20133;2;1;;
Abwasserverband Fieberbrunn, Hochfilzen, St. Jakob in Haus;20133;4;1;;
Abwasserverband Fladnitztal;20133;2;1;;
Abwasserverband Fladnitztal;20133;4;1;;
Abwasserverband Gattendorf-Neudorf;20133;2;1;;
Abwasserverband Gattendorf-Neudorf;20133;4;1;;
Abwasserverband Gleisdorfer Becken;20133;2;1;;
Abwasserverband Gleisdorfer Becken;20133;4;1;;
Abwasserverband Gölsental;20133;2;1;;
Abwasserverband Gölsental;20133;4;1;;
Abwasserverband Görtschitztal;20133;2;1;;
Abwasserverband Görtschitztal;20133;4;1;;
Abwasserverband Grazerfeld;20133;2;1;;
Abwasserverband Grazerfeld;20133;4;1;;
Abwasserverband Grimmenstein-Edlitz-Thomasberg;20133;2;1;;
Abwasserverband Grimmenstein-Edlitz-Thomasberg;20133;4;1;;
Abwasserverband Gröbming-Ennsboden;20133;2;1;;
Abwasserverband Gröbming-Ennsboden;20133;4;1;;
Abwasserverband Großraum Bruck an der Leitha - Neusiedl am See;20133;2;1;;
Abwasserverband Großraum Bruck an der Leitha - Neusiedl am See;20133;4;1;;
Abwasserverband Grossache-Nord;20133;2;1;;
Abwasserverband Grossache-Nord;20133;4;1;;
Abwasserverband Gurgltal - Imst - Inntal;20133;2;1;;
Abwasserverband Gurgltal - Imst - Inntal;20133;4;1;;
Abwasserverband Hall in Tirol - Fritzens;20133;2;1;;
Abwasserverband Hall in Tirol - Fritzens;20133;4;1;;
Abwasserverband Hausruck-Süd;20133;2;1;;
Abwasserverband Hausruck-Süd;20133;4;1;;
Abwasserverband Hohe Tauern Süd, Matrei i. O. - Virgen - Prägraten a. G. - Kals a. Gr. - Hopfgarten i. D. - St. Veit i. D.;20133;2;1;;
Abwasserverband Hohe Tauern Süd, Matrei i. O. - Virgen - Prägraten a. G. - Kals a. Gr. - Hopfgarten i. D. - St. Veit i. D.;20133;4;1;;
Abwasserverband im Raume Gr.Kadolz;20133;2;1;;
Abwasserverband im Raume Gr.Kadolz;20133;4;1;;
Abwasserverband Karnische Region;20133;2;1;;
Abwasserverband Karnische Region;20133;4;1;;
Abwasserverband Knittelfeld und Umgebung;20133;2;1;;
Abwasserverband Knittelfeld und Umgebung;20133;4;1;;
Abwasserverband Kössen-Schwendt;20133;2;1;;
Abwasserverband Kössen-Schwendt;20133;4;1;;
Abwasserverband Kufstein und Umgebung;20133;2;1;;
Abwasserverband Kufstein und Umgebung;20133;4;1;;
Abwasserverband Lainsitz;20133;2;1;;
Abwasserverband Lainsitz;20133;4;1;;
Abwasserverband Lainsitz Mitte;20133;2;1;;
Abwasserverband Lainsitz Mitte;20133;4;1;;
Abwasserverband Laßnitz-Wildbach-Gamsbach;20133;2;1;;
Abwasserverband Laßnitz-Wildbach-Gamsbach;20133;4;1;;
Abwasserverband Lechtal;20133;2;1;;
Abwasserverband Lechtal;20133;4;1;;
Abwasserverband Leiblachtal;20133;2;1;;
Abwasserverband Leiblachtal;20133;4;1;;
Abwasserverband Leibnitzerfeld-Süd;20133;2;1;;
Abwasserverband Leibnitzerfeld-Süd;20133;4;1;;
Abwasserverband Leibnitz-Wagna-Kaindorf;20133;2;1;;
Abwasserverband Leibnitz-Wagna-Kaindorf;20133;4;1;;
Abwasserverband Liebochtal;20133;2;1;;
Abwasserverband Liebochtal;20133;4;1;;
Abwasserverband Lienzer Talboden;20133;2;1;;
Abwasserverband Lienzer Talboden;20133;4;1;;
Abwasserverband Mariazellerland;20133;2;1;;
Abwasserverband Mariazellerland;20133;4;1;;
Abwasserverband Mittlere Enns;20133;2;1;;
Abwasserverband Mittlere Enns;20133;4;1;;
Abwasserverband Mittlerer Gnasbach;20133;2;1;;
Abwasserverband Mittlerer Gnasbach;20133;4;1;;
Abwasserverband Mittleres Burgenland;20133;2;1;;
Abwasserverband Mittleres Burgenland;20133;4;1;;
Abwasserverband Mittleres Feistritztal;20133;2;1;;
Abwasserverband Mittleres Feistritztal;20133;4;1;;
Abwasserverband Mittleres Kainachtal mit Södingtal;20133;2;1;;
Abwasserverband Mittleres Kainachtal mit Södingtal;20133;4;1;;
Abwasserverband Mittleres Laßnitztal;20133;2;1;;
Abwasserverband Mittleres Laßnitztal;20133;4;1;;
Abwasserverband Mittleres Pinka- und Zickental;20133;2;1;;
Abwasserverband Mittleres Pinka- und Zickental;20133;4;1;;
Abwasserverband Mittleres Schwarzatal;20133;2;1;;
Abwasserverband Mittleres Schwarzatal;20133;4;1;;
Abwasserverband Mittleres Steyrtal   ;20133;2;1;;
Abwasserverband Mittleres Steyrtal   ;20133;4;1;;
Abwasserverband Mittleres Strem- u. Zickenbachtal;20133;2;1;;
Abwasserverband Mittleres Strem- u. Zickenbachtal;20133;4;1;;
Abwasserverband Mittleres Stremtal;20133;2;1;;
Abwasserverband Mittleres Stremtal;20133;4;1;;
Abwasserverband Montafon;20133;2;1;;
Abwasserverband Montafon;20133;4;1;;
Abwasserverband Nördliches Liebochtal;20133;2;1;;
Abwasserverband Nördliches Liebochtal;20133;4;1;;
Abwasserverband Oberer Mödlingbach;20133;2;1;;
Abwasserverband Oberer Mödlingbach;20133;4;1;;
Abwasserverband Oberes Feistritztal;20133;2;1;;
Abwasserverband Oberes Feistritztal;20133;4;1;;
Abwasserverband Oberes Lafnitztal;20133;2;1;;
Abwasserverband Oberes Lafnitztal;20133;4;1;;
Abwasserverband Oberes Lavanttal;20133;2;1;;
Abwasserverband Oberes Lavanttal;20133;4;1;;
Abwasserverband Oberes Mürztal;20133;2;1;;
Abwasserverband Oberes Mürztal;20133;4;1;;
Abwasserverband Oberes Perschlingtal;20133;2;1;;
Abwasserverband Oberes Perschlingtal;20133;4;1;;
Abwasserverband Oberes Piestingtal;20133;2;1;;
Abwasserverband Oberes Piestingtal;20133;4;1;;
Abwasserverband Oberes Pinkatal;20133;2;1;;
Abwasserverband Oberes Pinkatal;20133;4;1;;
Abwasserverband Oberes Pölstal;20133;2;1;;
Abwasserverband Oberes Pölstal;20133;4;1;;
Abwasserverband Oberes Pustertal;20133;2;1;;
Abwasserverband Oberes Pustertal;20133;4;1;;
Abwasserverband Oberes Schwarzatal;20133;2;1;;
Abwasserverband Oberes Schwarzatal;20133;4;1;;
Abwasserverband Oberes Stanzertal;20133;2;1;;
Abwasserverband Oberes Stanzertal;20133;4;1;;
Abwasserverband Oberes Stiefingtal;20133;2;1;;
Abwasserverband Oberes Stiefingtal;20133;4;1;;
Abwasserverband Oberes Stremtal;20133;2;1;;
Abwasserverband Oberes Stremtal;20133;4;1;;
Abwasserverband Oberes Sulmtal;20133;2;1;;
Abwasserverband Oberes Sulmtal;20133;4;1;;
Abwasserverband Oberes Wipptal;20133;2;1;;
Abwasserverband Oberes Wipptal;20133;4;1;;
Abwasserverband Oberpaznaun;20133;2;1;;
Abwasserverband Oberpaznaun;20133;4;1;;
Abwasserverband Paltental;20133;2;1;;
Abwasserverband Paltental;20133;4;1;;
Abwasserverband Passailer Becken;20133;2;1;;
Abwasserverband Passailer Becken;20133;4;1;;
Abwasserverband Pielachtal;20133;2;1;;
Abwasserverband Pielachtal;20133;4;1;;
Abwasserverband Piestingtal;20133;2;1;;
Abwasserverband Piestingtal;20133;4;1;;
Abwasserverband Pitztal;20133;2;1;;
Abwasserverband Pitztal;20133;4;1;;
Abwasserverband Prutz und Umgebung;20133;2;1;;
Abwasserverband Prutz und Umgebung;20133;4;1;;
Abwasserverband Raum Anger;20133;2;1;;
Abwasserverband Raum Anger;20133;4;1;;
Abwasserverband Raum Friesach-Althofen;20133;2;1;;
Abwasserverband Raum Friesach-Althofen;20133;4;1;;
Abwasserverband Raum Frohnleiten;20133;2;1;;
Abwasserverband Raum Frohnleiten;20133;4;1;;
Abwasserverband Raum Fürstenfeld;20133;2;1;;
Abwasserverband Raum Fürstenfeld;20133;4;1;;
Abwasserverband Raum Hainburg a.d.Donau;20133;2;1;;
Abwasserverband Raum Hainburg a.d.Donau;20133;4;1;;
Abwasserverband Raum Haus-Aich;20133;2;1;;
Abwasserverband Raum Haus-Aich;20133;4;1;;
Abwasserverband Raum Kirchbach;20133;2;1;;
Abwasserverband Raum Kirchbach;20133;4;1;;
Abwasserverband Raum Korneuburg;20133;2;1;;
Abwasserverband Raum Korneuburg;20133;4;1;;
Abwasserverband Raum Stainz;20133;2;1;;
Abwasserverband Raum Stainz;20133;4;1;;
Abwasserverband Raum Straden;20133;2;1;;
Abwasserverband Raum Straden;20133;4;1;;
Abwasserverband Raum Zeltweg;20133;2;1;;
Abwasserverband Raum Zeltweg;20133;4;1;;
Abwasserverband Region Bezau;20133;2;1;;
Abwasserverband Region Bezau;20133;4;1;;
Abwasserverband Region Bludenz;20133;2;1;;
Abwasserverband Region Bludenz;20133;4;1;;
Abwasserverband Region Feldkirch;20133;2;1;;
Abwasserverband Region Feldkirch;20133;4;1;;
Abwasserverband Region Gnas;20133;2;1;;
Abwasserverband Region Gnas;20133;4;1;;
Abwasserverband Region Hohenems;20133;2;1;;
Abwasserverband Region Hohenems;20133;4;1;;
Abwasserverband Region Walgau;20133;2;1;;
Abwasserverband Region Walgau;20133;4;1;;
Abwasserverband Reither Ache;20133;2;1;;
Abwasserverband Reither Ache;20133;4;1;;
Abwasserverband Rotachtal;20133;2;1;;
Abwasserverband Rotachtal;20133;4;1;;
Abwasserverband Schachendorf-Schandorf;20133;2;1;;
Abwasserverband Schachendorf-Schandorf;20133;4;1;;
Abwasserverband Schwaz und Umgebung;20133;2;1;;
Abwasserverband Schwaz und Umgebung;20133;4;1;;
Abwasserverband Schwechat;20133;2;1;;
Abwasserverband Schwechat;20133;4;1;;
Abwasserverband Seewinkel;20133;2;1;;
Abwasserverband Seewinkel;20133;4;1;;
Abwasserverband Serfaus-Pfunds-Tösens;20133;2;1;;
Abwasserverband Serfaus-Pfunds-Tösens;20133;4;1;;
Abwasserverband Söll-Scheffau-Ellmau;20133;2;1;;
Abwasserverband Söll-Scheffau-Ellmau;20133;4;1;;
Abwasserverband Spielberg-Flatschach;20133;2;1;;
Abwasserverband Spielberg-Flatschach;20133;4;1;;
Abwasserverband Sportberg Goldeck;20133;2;1;;
Abwasserverband Sportberg Goldeck;20133;4;1;;
Abwasserverband Stams und Umgebung;20133;2;1;;
Abwasserverband Stams und Umgebung;20133;4;1;;
Abwasserverband Steirisches Zirbenland;20133;2;1;;
Abwasserverband Steirisches Zirbenland;20133;4;1;;
Abwasserverband Stögersbachtal;20133;2;1;;
Abwasserverband Stögersbachtal;20133;4;1;;
Abwasserverband Stubaital;20133;2;1;;
Abwasserverband Stubaital;20133;4;1;;
Abwasserverband Sulzbach;20133;2;1;;
Abwasserverband Sulzbach;20133;4;1;;
Abwasserverband Tannheimertal;20133;2;1;;
Abwasserverband Tannheimertal;20133;4;1;;
Abwasserverband Tauchental;20133;2;1;;
Abwasserverband Tauchental;20133;4;1;;
Abwasserverband Telfs und Umgebung;20133;2;1;;
Abwasserverband Telfs und Umgebung;20133;4;1;;
Abwasserverband Tulln;20133;2;1;;
Abwasserverband Tulln;20133;4;1;;
Abwasserverband Untere Schranne;20133;2;1;;
Abwasserverband Untere Schranne;20133;4;1;;
Abwasserverband Unteres Pustertal;20133;2;1;;
Abwasserverband Unteres Pustertal;20133;4;1;;
Abwasserverband Unteres Rodltal;20133;2;1;;
Abwasserverband Unteres Rodltal;20133;4;1;;
Abwasserverband Unteres Wipptal;20133;2;1;;
Abwasserverband Unteres Wipptal;20133;4;1;;
Abwasserverband Unterpaznaun;20133;2;1;;
Abwasserverband Unterpaznaun;20133;4;1;;
Abwasserverband Vils-Reutte und Umgebung-Pfronten;20133;2;1;;
Abwasserverband Vils-Reutte und Umgebung-Pfronten;20133;4;1;;
Abwasserverband Völkermarkt - Jaunfeld;20133;2;1;;
Abwasserverband Völkermarkt - Jaunfeld;20133;4;1;;
Abwasserverband Vorderes Ötztal;20133;2;1;;
Abwasserverband Vorderes Ötztal;20133;4;1;;
Abwasserverband Vorderland;20133;2;1;;
Abwasserverband Vorderland;20133;4;1;;
Abwasserverband Waidring-St. Ulrich;20133;2;1;;
Abwasserverband Waidring-St. Ulrich;20133;4;1;;
Abwasserverband Walchsee Kössen;20133;2;1;;
Abwasserverband Walchsee Kössen;20133;4;1;;
Abwasserverband Wechselland;20133;2;1;;
Abwasserverband Wechselland;20133;4;1;;
Abwasserverband Welser Heide;20133;2;1;;
Abwasserverband Welser Heide;20133;4;1;;
Abwasserverband Westendorf-Brixen im Thale;20133;2;1;;
Abwasserverband Westendorf-Brixen im Thale;20133;4;1;;
Abwasserverband Westliches Mittelgebirge;20133;2;1;;
Abwasserverband Westliches Mittelgebirge;20133;4;1;;
Abwasserverband Wiener Neustadt-Süd;20133;2;1;;
Abwasserverband Wiener Neustadt-Süd;20133;4;1;;
Abwasserverband Wolfsberg, Hainsdorf, Breitenfeld;20133;2;1;;
Abwasserverband Wolfsberg, Hainsdorf, Breitenfeld;20133;4;1;;
Abwasserverband Wörgl-Kirchbichl und Umgebung;20133;2;1;;
Abwasserverband Wörgl-Kirchbichl und Umgebung;20133;4;1;;
Abwasserverband Wörther See West;20133;2;1;;
Abwasserverband Wörther See West;20133;4;1;;
Abwasserverband Ybbsfeld;20133;2;1;;
Abwasserverband Ybbsfeld;20133;4;1;;
Abwasserverband Zams-Landeck- und Umgebung;20133;2;1;;
Abwasserverband Zams-Landeck- und Umgebung;20133;4;1;;
Abwasserverband Zickental;20133;2;1;;
Abwasserverband Zickental;20133;4;1;;
Abwasserverband Zirl und Umgebung;20133;2;1;;
Abwasserverband Zirl und Umgebung;20133;4;1;;
Academy-Direct. Verein zur Unterstützung der Akademie der bildenden Künste Wien;20133;2;1;;
Academy-Direct. Verein zur Unterstützung der Akademie der bildenden Künste Wien;20133;4;1;;
accent Gründerservice GmbH;20133;2;1;;
accent Gründerservice GmbH;20133;4;1;;
ACCESS INDUSTRIAL PARK AUSTRIA Ges.m.b.H.;20133;2;1;;
ACCESS INDUSTRIAL PARK AUSTRIA Ges.m.b.H.;20133;4;1;;
Achenseeschiffahrt- GesmbH;20133;2;1;;
Achenseeschiffahrt- GesmbH;20133;4;1;;
achtzigzehn Agentur für Marketing und Vertrieb GmbH;20133;2;1;;
achtzigzehn Agentur für Marketing und Vertrieb GmbH;20133;4;1;;
ACIB GmbH;20133;2;1;;
ACIB GmbH;20133;4;1;;
A.D. BioErde und Kompost GmbH;20133;2;1;;
A.D. BioErde und Kompost GmbH;20133;4;1;;
Adolf und Veronika Hofbauer'sche Stiftung;20133;2;1;;
Adolf und Veronika Hofbauer'sche Stiftung;20133;4;1;;
Adoria Grundstückvermietungs Gesellschaft m.b.H.;20133;2;1;;
Adoria Grundstückvermietungs Gesellschaft m.b.H.;20133;4;1;;
ADSI - Austrian Drug Screening Institute GmbH;20133;2;1;;
ADSI - Austrian Drug Screening Institute GmbH;20133;4;1;;
Agentur für Qualitätssicherung und Akkreditierung Austria (AQ Austria);20133;2;1;;
Agentur für Qualitätssicherung und Akkreditierung Austria (AQ Austria);20133;4;1;;
Agrarmarketing Tirol (Verein);20133;2;0;Antenne/U1;9436
Agrarmarketing Tirol (Verein);20133;2;0;Bezirksblätter Tirol;23327,71
Agrarmarketing Tirol (Verein);20133;2;0;Landwirtschaftliche Blätter;6589,27
Agrarmarketing Tirol (Verein);20133;2;0;Life Radio;8154,86
Agrarmarketing Tirol (Verein);20133;2;0;ORF Tirol;62630
Agrarmarketing Tirol (Verein);20133;2;0;Tirol TV;7241,91
Agrarmarketing Tirol (Verein);20133;2;0;Tiroler Tageszeitung;43735,74
Agrarmarketing Tirol (Verein);20133;2;0;Tirolerin;24275,94
Agrarmarketing Tirol (Verein);20133;2;0;Weekend;10251,85
Agrarmarketing Tirol (Verein);20133;4;1;;
Agrarmarkt Austria;20133;2;1;;
Agrarmarkt Austria;20133;4;1;;
Agrarmarkt Austria Marketing GesmbH;20133;2;0;ATV;13549
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Blick ins Land;9400
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Der Standard;39895
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Die Ganze Woche;6770
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Die Landwirtschaft;5982
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Falstaff-Magazin;56865
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Genuss auf Steirisch;9155
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Grillzeit;31700
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Heute;18221
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Hitradio Ö3;27442
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Kabel 1 austria;11595
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Kleine Zeitung;20570
Agrarmarkt Austria Marketing GesmbH;20133;2;0;KRONEHIT;5815
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Kronen Zeitung;90249
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Kurier;15226
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Lebensart;5301
Agrarmarkt Austria Marketing GesmbH;20133;2;0;lz direkt;6129
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Madonna;6066
Agrarmarkt Austria Marketing GesmbH;20133;2;0;News;26580
Agrarmarkt Austria Marketing GesmbH;20133;2;0;NÖN;24480
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Obersteirische Nachrichten;14263
Agrarmarkt Austria Marketing GesmbH;20133;2;0;ORF eins;35369
Agrarmarkt Austria Marketing GesmbH;20133;2;0;ORF 2;94950
Agrarmarkt Austria Marketing GesmbH;20133;2;0;PRESSE / TOP-1. BUCH;6251
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Pro Sieben Austria;43161
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Puls 4;35153
Agrarmarkt Austria Marketing GesmbH;20133;2;0;SAT.1 Österreich;33110
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Servus;32882
Agrarmarkt Austria Marketing GesmbH;20133;2;0;tele;36400
Agrarmarkt Austria Marketing GesmbH;20133;2;0;UG - Unsere Generation;8925
Agrarmarkt Austria Marketing GesmbH;20133;2;0;Weekend Magazin;34425
Agrarmarkt Austria Marketing GesmbH;20133;4;1;;
AgroFreight Spedition GmbH;20133;2;1;;
AgroFreight Spedition GmbH;20133;4;1;;
AIRPORT PARKING GRAZ GmbH;20133;2;1;;
AIRPORT PARKING GRAZ GmbH;20133;4;1;;
AIT Austrian Institute of Technology GmbH;20133;2;0;Austria Innovativ;10660,98
AIT Austrian Institute of Technology GmbH;20133;2;0;Austria Innovativ;29729,53
AIT Austrian Institute of Technology GmbH;20133;2;0;Der Standard;7700
AIT Austrian Institute of Technology GmbH;20133;2;0;Die Presse;8000
AIT Austrian Institute of Technology GmbH;20133;2;0;FORMAT;13125
AIT Austrian Institute of Technology GmbH;20133;2;0;ORF III;7791,59
AIT Austrian Institute of Technology GmbH;20133;4;1;;
Akademie Burgenland GmbH;20133;2;1;;
Akademie Burgenland GmbH;20133;4;1;;
Akademie der bildenden Künste Wien;20133;2;0;Der Standard;10037,91
Akademie der bildenden Künste Wien;20133;2;0;Österreich;16810
Akademie der bildenden Künste Wien;20133;4;1;;
Akademie der Wirtschaftstreuhänder Gesellschaft m.b.H.;20133;2;0;Die Presse;9238,75
